2021-03-26 19:42:43.7538 INFO Created infect deseases departament
2021-03-26 19:42:43.7728 INFO Work with patients was started
2021-03-26 19:42:44.3207 INFO New patient in observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:44.6339 INFO New patient in observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:44.9417 INFO New patient in observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:45.7691 INFO New patient in queue to observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:46.1577 INFO New patient in observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:46.4547 INFO New patient in observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:46.9091 INFO New patient in queue to observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:47.0191 INFO New patient in queue to observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:47.4377 INFO New patient in observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:47.9670 INFO New patient in observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:48.4187 INFO New patient in queue to observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:48.5267 INFO New patient in queue to observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:48.5888 INFO New patient in observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:49.5629 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:50.2381 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:50.3471 INFO New patient in observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:50.3951 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:51.0022 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:51.9235 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:52.3598 INFO Human is healthy, awaiting time=3561
2021-03-26 19:42:52.3598 INFO Human is healthy, awaiting time=3561
2021-03-26 19:42:52.3598 INFO Human is healthy, awaiting time=3561
2021-03-26 19:42:52.3598 INFO Human is healthy, awaiting time=3561
2021-03-26 19:42:52.3598 INFO Human is healthy, awaiting time=3561
2021-03-26 19:42:52.5278 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:53.2820 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:53.8582 INFO New patient in queue to observation room: isInfected=False, isSpecial=True
2021-03-26 19:42:54.4063 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:54.7174 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:55.5366 INFO New patient in observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:55.9287 INFO New patient in observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:56.0707 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:56.8689 INFO New patient in observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:57.0389 INFO New patient in observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:57.0689 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:57.3040 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:57.7851 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:58.6423 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:58.8923 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:42:59.7475 INFO New patient in observation room: isInfected=True, isSpecial=False
2021-03-26 19:42:59.9036 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:00.5487 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:01.0668 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:02.0038 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:02.4529 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:02.7190 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:02.9520 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:03.4211 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:03.9222 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:04.6236 INFO New patient in queue to observation room: isInfected=False, isSpecial=False
2021-03-26 19:43:05.5938 INFO New patient in observation room: isInfected=True, isSpecial=False
